Song Recommendations
Miley Cyrus - Flowers
"Metro Boomin, The Weeknd & 21 Savage - Creepin'"
Rema & Selena Gomez - Calm Down
Morgan Wallen - Last Night
SZA - Kill Bill
Miguel - Sure Thing
Taylor Swift - Anti-Hero
Ed Sheeran - Eyes Closed
The Weeknd - Die For You
Tyler Hubbard - Dancin' In The Country
Post Malone - Chemical
"PinkPantheress & Ice Spice - Boy's a liar, Pt. 2"
Kane Brown & Katelyn Brown - Thank God
David Guetta - I'm Good (Blue) (feat. Bebe Rexha)
Harry Styles - As It Was
Toosii - Favorite Song
Coi Leray - Players
Scotty McCreery - It Matters To Her
Daniel Caesar - Get You (feat. Kali Uchis)
Bailey Zimmerman - Rock and a Hard Place
Taylor Swift - Karma
Chris Brown - Under the Influence
Sia - Unstoppable
Megan Moroney - Tennessee Orange
Cody Johnson - Human
The Kid Laroi & Justin Bieber - Stay
Jordan Davis - Next Thing You Know
Morgan Wallen - Thought You Should Know
Glass Animals - Heat Waves
Morgan Wallen - One Thing At A Time
Old Dominion - Memory Lane
Nicky Youre & Dazy - Sunroof
Corey Kent - Wild As Her
Jonas Brothers - Waffle House
Cole Swindell - She Had Me At Heads Carolina
Tems - Free Mind
SZA - Snooze
Keith Urban - Brown Eyes Baby
Ed Sheeran - Bad Habits
Jon Pardi - Your Heart Or Mine
Dierks Bentley - Gold
"Justin Moore & Priscilla Block - You, Me, And Whiskey"
Drake - Search & Rescue
Coco Jones - I C U
Jelly Roll - NEED A FAVOR
P!nk - TRUSTFALL
Luke Combs - Fast Car
Justin Bieber - Ghost
Sam Smith - Unholy (feat. Kim Petras)
Drake & 21 Savage - Spin Bout U
Post Malone - I Like You (A Happier Song) (feat. Doja Cat)
Parker McCollum - Handle On You
SZA - Shirt
Luke Combs - Love You Anyway
Dua Lipa - Levitating
Ice Spice - In Ha Mood
The Weeknd - Double Fantasy f/Future
Jordan Davis - What My World Spins Around
Luke Combs - The Kind of Love We Make
Morgan Wallen - You Proof
Parmalee - Take My Name
Shane Profitt - How It Oughta Be
Usher - GLU
Lainey Wilson - Heart Like A Truck
RAYE - Escapism. (feat. 070 Shake)
Sabrina Carpenter - Nonsense
Doechii & Kodak Black - What It Is (Block Boy)
Thomas Rhett - Angels
Dean Lewis - How Do I Say Goodbye
"Luke Combs - Going, Going, Gone"
Harry Styles - Late Night Talking
Wizkid - Essence f/Tems
Stephen Sanchez & Em Beihold - Until I Found You
Nicki Minaj - Red Ruby Da Sleeze
Don Toliver - Private Landing (feat. Future & Justin Bieber)
Lizzo - About Damn Time
Ed Sheeran - Shivers
Cole Swindell - Drinkaby
Parmalee - Girl In Mine
Hailey Whitters - Everything She Ain't
Nle Choppa - Ain't Gonna Answer f/Lil Wayne
Future - WAIT FOR U (feat. Drake & Tems)
Lil Durk - All My Life (feat. J. Cole)
Miley Cyrus - Jaded
Lil Uzi Vert - Just Wanna Rock
Summer Walker - Karma
Latto - Big Energy
Elton John & Britney Spears - Hold Me Closer
Cody Johnson - 'Til You Can't
Ice Spice & Nicki Minaj - Princess Diana
Nate Smith - Whiskey On You
Joe Nichols - Good Day For Living
KAROL G & Shakira - TQG
Grupo Frontera & Bad Bunny - un x100to
Elton John & Dua Lipa - Cold Heart
NF - HAPPY
Superstar Pride - Painting Pictures
Kane Brown - Bury Me in Georgia (Single Edit)
Foo Fighters - Rescued
Rod Wave - Fight The Feeling
Tim McGraw - Standing Room Only
Ella Mai - This Is
Marshmello & Manuel Turizo - El Merengue
Lauren Daigle - Thank God I Do
D. Guetta/anne-marie/c. Leray - Baby Don't Hurt Me
Chris Young - Looking For You
Phil Wickham - This Is Our God
Linkin Park - Lost
Tobymac - Cornerstone f/Zach Williams
Eslabon Armado & Peso Pluma - Ella Baila Sola
Sebastian Yatra - Una Noche Sin Pensar
Tank - See Through Love fC. Brown
Meghan Trainor - Mother
Matt Maher - The Lord's Prayer (It's Yours)
Cochren & Co. - Running Home
Consumed By Fire - First Things First
Lah Pat - Rodeo f/Big Jade
"Alicia Keys - Come For Me f/Khalid, L Daye"
Zach Bryan - Something in the Orange
Jeremy Camp - Anxious Heart
"Tyler, The Creator - DOGTOOTH"
Ledisi - I Need To Know
Jason Aldean - Try That In A Small Town
Andrew Ripp - For The Love Of God
Christian Nodal - Un Cumbion Dolido
ROSALÍA - BESO (feat. Rauw Alejandro)
FIFTY FIFTY - Cupid (Twin Ver.)
Ashley Mcbryde - Light On In The Kitchen
Jax - Cinderella Snapped
Charlie Puth F/dan+shay - That's Not How This Works
Banda El Recodo - Al Ver Que Te Vas
Grupo Firme F/gerardo Coronel - Que Onda Perdida
Kelly Clarkson - mine
Yng Lvcas & Peso Pluma - La Bebe (Remix)
Lewis Capaldi - Wish You The Best
Melanie Martinez - Void
Dylan Scott - Can't Have Mine (Find You A..)
Bia - I'm That Bitch f/Timbaland
Blxst - Passionate f/Roddy Ricch
Bailey Zimmerman - Religiously
Maluma & Marc Anthony - La Formula
Camilo & Camila Cabello - Ambulancia
Kim Petras & Nicki Minaj - Alone (2.0)
Becky G - Arranca f/Omega
Kelsea Ballerini - IF YOU GO DOWN (I'M GOIN' DOWN TOO)
Prince Royce - Me enRD
Rita Ora - Praising You f/Fatboy Slim
Chris Janson - All I Need Is You
Anuel Aa/mambo Kingz/dj Luian - Mas Rica Que Ayer
Mitchell Tenpenny - We Got History
Luke Bryan - But I Got A Beer In My Hand
Natalie Grant & Cory Asbury - You Will Be Found
Russell Dickerson - God Gave Me A Girl
Post Malone - Mourning
Maverick City Music - Fear Is Not My Future
Tyrese F/lenny Kravitz - Don't Think You Ever Loved Me
Libianca - People
Lizzy McAlpine - ceilings
Fuerza Regida & Grupo Frontera - Bebe Dame
Pitbull & Lil Jon - JUMPIN
Shakira - Acróstico
Young Nudy - Peaches & Eggplants (feat. 21 Savage)
Maroon 5 - Middle Ground
Feid & Sean Paul - Nina Bonita
DaBaby - SHAKE SUMN
Kali - Area Codes
Sexyy Red & Tay Keith - Pound Town
Kali Uchis - Moonlight
Labrinth - Never Felt So Alone
David Kushner - Daylight
Foo Fighters - Under You
Icandy - Keep Dat Nigga
